race_code,kaisai_nen,kaisai_gappi,keibajo_code,bamei,ketto_toroku_bango,barei,seibetsu_code,kishu_code,kishumei_ryakusho,chokyoshi_code,chokyoshimei_ryakusho,futan_juryo,bataiju,zogen_sa,zogen_fugo,tansho_odds,tansho_ninkijun,kyakushitsu_hantei,kakutei_chakujun,wakuban,umaban,kyori,track_code,tenko_code,shiba_babajotai_code,dirt_babajotai_code,shusso_tosu,kaisai_kai,kaisai_nichime,race_grade,chichi,haha,chichi_chichi,haha_chichi,shiba_ryo_1chaku,shiba_ryo_2chaku,shiba_ryo_3chaku,dirt_ryo_1chaku,dirt_ryo_2chaku,dirt_ryo_3chaku,shiba_short_1chaku,shiba_middle_1chaku,shiba_long_1chaku,dirt_short_1chaku,dirt_middle_1chaku,dirt_long_1chaku,kyakushitsu_keiko_nige,kyakushitsu_keiko_senko,kyakushitsu_keiko_sashi,kyakushitsu_keiko_oikomi,sogo_1chaku,sogo_2chaku,sogo_3chaku,chokyo_3f,chokyo_3f_avg3,chokyo_3f_best,chokyo_3f_std,chokyo_trend,chokyo_lap_3f,chokyo_lap_1f,chokyo_4f,prev_chakujun,prev_odds,prev_keibajo,prev_kyori,prev_grade,kishu_change,weeks_since_last_race,kishu_keibajo_win_rate,chokyoshi_place_win_rate,grade_score,prev_grade_score,grade_up,chokyo_improving,fresh_improving,chichi_code,haha_code,chichi_chichi_code,race_date,prev_race_date,prev_futan_juryo,futan_henka,past3_avg_chakujun,past3_avg_odds,total_races,win_count,win_rate,sogo_total,sogo_win_rate,shiba_win_rate,dirt_win_rate,short_win_rate,middle_win_rate,long_win_rate,kishu_win_rate,chokyoshi_win_rate,grade_up_fresh,chokyo_quality,kishu_change_grade_up,chokyoshi_rate_x_grade,prev_quality_chakujun,keibajo_change,kyori_change,kyori_up,kyori_down,chichi_kyori,haha_kyori,chichi_track,haha_track,kishu_kyori,kishu_track,barei_kyori,bataiju_kyori,weeks_barei,kaishi_nige,kaishi_senko,futan_barei,nick_index,nick_roi,nick_win_rate,nick_place_rate,bataiju_signed,weight_ema3,weight_up_trend,weight_down_trend,weight_big_change,weight_stability,post_win_rate,post_bias,tenko_apt,shiba_baba_apt,dirt_baba_apt,ema3_chakujun,ema3_odds,ema5_chakujun,ema5_odds,ema10_chakujun,ema10_odds,futan_diff,age_futan_interaction,prev_futan,futan_increase,interval_bucket,interval_age,long_rest,tight_schedule,race_month,season,is_spring,is_summer,is_autumn,is_winter,is_inner,is_outer,kaikai_inner_rate,kaikai_outer_rate,inner_advantage,wood_4f_last,wood_4f_best30,wood_4f_zscore,wood_trend,wood_sessions14d,wood_pace_balance,hanro_4f_last,hanro_4f_best30,hanro_4f_zscore,hanro_trend,hanro_sessions14d,training_score_v2,training_form,trainer_win_rate_honnen,trainer_win_rate_ruikei,trainer_form_ratio,trainer_shiba_rate,trainer_dirt_rate,trainer_venue_rate,trainer_venue_rate_ruikei,trainer_best_dist_shiba,trainer_best_dist_dirt,trainer_hot_cold,trainer_specialty_score,trainer_tozai,is_debut,jockey_debut_win_rate,trainer_debut_win_rate,sire_debut_win_rate,debut_weight_bonus,debut_score,inbreeding_coeff,outcross_index,true_nicks_score,nick_sample_size,dosage_index,center_of_distribution,win_probability,odds_decimal,expected_value,ev_threshold,race_type
2025010607010204,2025,106,07,ヒフミバンダム,2022103446,3,3,1216,吉村誠之,1194,小栗実　,550,468.0,4.0,-1.0,4010,12,2,10,4,4,1800,23,2,0,1,12,1,2, ,サンダースノー,ボンボンキャスト,Helmet,ゼンノロブロイ,0,0,0,1,0,1,0,0,0,0,1,0,0,2,3,2,2.0,0.0,1.0,400.0,417.3333333333333,400.0,15.534906930308058,22.0,139.0,129.0,552.0,1.0,216.0,8.0,1800.0, ,0.0,3.2857142857142856,0.0597014925373134,0.0,1,1,0,1,0,554,12155,97,2025-01-06,2024-12-14 00:00:00,540.0,10.0,4.0,557.0,3,1,0.25,3.0,0.5,0.0,0.3333333333333333,0,1,0,0.0571923743500866,0.0900473933649289,0,24.19124593116459,0.0,0.0,0.999999000001,1,0.0,0,0,997200,21879000,12742,279565,2188800,27968,5400,842400.0,9.857142857142858,0,4,1650,1.0793805001729848,2.140625,0.09375,0.21875,-4.0,-1.5,0,0,0,3.4641016151377544,0.07773851590106,-0.0041725543121491,0.3333333333333333,0.25,0.3333333333333333,3.25,471.75,4.555555555555556,627.5555555555557,5.983471074380164,799.8099173553717,495.0,1485.0,540.0,10.0,0,9.857142857142858,0,0,1,0,0,0,0,1,1,0,0.0678144764581869,0.0759976525821596,-0.0081831761239726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.1258503401360544,0.0,0.1162790697674418,0.1393442622950819,0.0,0.0,0.0,0.0,0.0,0.0880952380952381,2.0,0,0.0644834262969585,0.0706031923418278,0.0578512396694214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4374879230824772,401.0,174.43265715607336,0.15,default
2025031609010605,2025,316,09,ヴィーナスバブル,2022102957,3,2,1154,松若風馬,1209,東田明士,550,412.0,14.0,-1.0,2234,15,2,1,4,7,2000,17,4,2,0,16,1,6, ,ダノンバラード,ヴィーナスフローラ,ディープインパクト,ハーツクライ,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,5,1.0,0.0,0.0,420.0,442.3333333333333,419.0,39.55165398985652,-1.0,149.0,131.0,579.0,7.0,568.0,10.0,1800.0, ,1.0,2.142857142857143,0.0485527544351073,0.0,1,1,0,0,0,639,15559,292,2025-03-16,2025-03-01 00:00:00,530.0,20.0,8.0,1067.0,2,0,0.0,1.0,0.5,0.0,0.0,0,1,0,0.0587646076794657,0.0,0,10.332500866790973,0.0,0.0,6.9999930000070005,1,200.0,1,0,1278000,31118000,10863,264503,2308000,19618,6000,824000.0,6.428571428571429,0,18,1650,1.0,1.0,0.0,0.0,-14.0,-1.0,0,0,1,1.4142135623730951,0.0779944289693593,-0.0039166412438499,1.0,0.5,0.125,8.0,1067.0,8.333333333333334,1233.3333333333337,8.636363636363637,1384.5454545454545,495.0,1485.0,530.0,20.0,0,6.428571428571429,0,0,3,0,1,0,0,0,1,0,0.0976253298153034,0.0712166172106825,0.0264087126046209,0.0,0.0,0.0,0.0,0.0,0.0,57.9,54.6,0.8381666487368037,-7.899999999999999,6.0,0.6744465272548233,A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,2.0,0,0.0644834262969585,0.0706031923418278,0.0437956204379562,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6583547391414946,223.4,146.07644872420988,0.15,default
2025121306050306,2025,1213,06,タイセイエムロード,2023104031,2,1,1203,石田拓郎,1116,新開幸一,530,452.0,0.0,0.0,2057,15,2,1,5,9,1800,24,1,0,1,15,5,3, ,ゴールドドリーム,マウロア,ゴールドアリュール,キングカメハメハ,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1.0,0.0,0.0,520.0,499.3333333333333,471.0,25.38372181799457,-49.0,178.0,167.0,708.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0451612903225806,0.0,1,1,0,0,0,527,12397,258,2025-12-13,0,0.0,530.0,0.0,0.0,0,0,0.0,1.0,0.5,0.0,0.5,0,1,0,0.0284495021337126,0.0530612244897959,0,17.851916543433322,0.0,0.0,0.0,1,1800.0,1,0,948600,22314600,12648,297528,2165400,28872,3600,813600.0,0.0,0,6,1060,1.6732094508997133,5.1571428571428575,0.1428571428571428,0.3571428571428571,0.0,0.0,0,0,0,0.0,0.0596590909090909,-0.0222519793041183,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,475.0,950.0,0.0,530.0,0,0.0,0,1,12,3,0,0,0,1,0,1,0.0619614279852277,0.0688461538461538,-0.0068847258609261,53.2,0.0,0.3169300135651548,-0.3999999999999986,0.0,0.8929503916449087,70.8,0.0,-1.0879752216445164,1.899999999999992,0.0,0.3400111814310187,D,0.088,0.08254822790489,1.0660434782608696,0.056782334384858,0.0927899686520376,0.1428571428571428,0.0615384615384615,0.2222222222222222,0.2857142857142857,0.3172306418219461,0.1736525027238351,1.0,1,0.0644834262969585,0.0706031923418278,0.054054054054054,0.7,0.5551728875988388,0.0,0.0,0.0,0.0,0.0,0.0,0.6037063345151884,205.7,123.18239300977424,0.15,default
2025051805020801,2025,518,05,ジェイエルライナー,2022101819,3,2,1177,小林凌大,405,小西一男,550,456.0,0.0,0.0,4420,16,2,4,1,2,1400,23,1,0,3,16,2,8, ,タワーオブロンドン,ホウライサンデー,Raven's Pass,サンデーサイレンス,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2.0,1.0,1.0,427.0,481.3333333333333,427.0,47.37439533475159,76.0,145.0,141.0,592.0,14.0,2174.0,5.0,1600.0, ,1.0,2.0,0.027027027027027,0.0,1,1,0,1,0,627,11995,175,2025-05-18,2025-05-04 00:00:00,550.0,0.0,13.5,1374.0,2,0,0.0,4.0,0.4,0.0,0.0,0,0,0,0.0310752019888129,0.0432152117545375,0,8.826983718249151,0.0,0.0,13.999986000014,1,-200.0,0,1,877800,16793000,14421,275885,1647800,27071,4200,638400.0,6.0,0,8,1650,1.0,1.0,0.0,0.0,0.0,-2.0,0,0,0,2.8284271247461903,0.0646067415730337,-0.0173043286401755,0.2,0.25,0.3333333333333333,13.5,1374.0,13.333333333333334,1107.3333333333333,13.18181818181818,864.909090909091,495.0,1485.0,550.0,0.0,0,6.0,0,0,5,1,1,0,0,0,1,0,0.0603627713351174,0.0732234531207781,-0.0128606817856607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0714285714285714,0.1010794896957801,0.7066574202496532,0.0792141951837769,0.1108899630366789,0.0,0.0618811881188118,0.1666666666666666,0.1666666666666666,0.1176086453999075,0.070215897939156,0.0,0,0.0644834262969585,0.0706031923418278,0.0294117647058823,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25360745658084033,442.0,111.09449580873142,0.15,default
2025122109050604,2025,1221,09,ケイアイアマゾン,2023105762,2,1,1138,藤懸貴志,1212,秋山真一,560,474.0,8.0,-1.0,1192,8,2,1,6,8,1800,24,3,0,2,12,5,6, ,マインドユアビスケッツ,クインズヌーサ,Posse,ゴールドアリュール,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,1.0,0.0,0.0,471.0,448.3333333333333,394.0,47.26873526268006,9.0,158.0,159.0,634.0,8.0,2433.0,9.0,1800.0, ,0.0,2.142857142857143,0.038876889848812,0.0,1,1,0,1,0,769,4179,170,2025-12-21,2025-12-06 00:00:00,560.0,0.0,6.666666666666667,2425.6666666666665,4,0,0.0,1.0,0.5,0.0,0.0,0,1,0,0.042997542997543,0.0360824742268041,0,8.16263359410266,0.0,0.0,7.999992000008,1,0.0,0,0,1384200,7522200,18456,100296,2048400,27312,3600,853200.0,4.285714285714286,0,12,1120,0.7976499987909249,0.8457142857142858,0.0742857142857142,0.2971428571428571,-8.0,4.5,1,0,0,4.760952285695227,0.0798507462686567,-0.0020603239445525,1.0,0.125,0.5,7.5,2069.875,7.629629629629631,2006.407407407408,8.033809166040571,1860.8407212622085,505.0,1010.0,560.0,0.0,0,4.285714285714286,0,0,12,3,0,0,0,1,0,1,0.0750172057811424,0.0746518105849582,0.0003653951961842,54.6,0.0,0.2932992374182211,0.0,0.0,0.8772845953002611,63.4,54.7,0.0169433706672484,8.699999999999996,1.0,0.2757154094024928,D,0.0463576158940397,0.0463576158940397,1.0,0.0416666666666666,0.0485436893203883,0.0833333333333333,0.0833333333333333,0.2,0.3333333333333333,0.2259795805739514,0.1509381898454746,2.0,0,0.0644834262969585,0.0706031923418278,0.0764705882352941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8078050579623584,119.2,95.29036290911311,0.15,default
2025050308020311,2025,503,08,サイモンシュバリエ,2022102223,3,1,1128,川須栄彦,1084,梅田智之,570,474.0,0.0,0.0,3848,13,1,12,2,2,1900,24,1,0,2,13,2,3,C,シニスターミニスター,メイショウネイロ,Old Trieste,ネオユニヴァース,0,0,0,1,0,3,0,0,0,0,1,0,3,4,2,2,2.0,0.0,3.0,381.0,409.6666666666667,381.0,42.91076011134426,8.0,138.0,123.0,547.0,8.0,688.0,9.0,1800.0, ,1.0,3.0,0.0396825396825396,0.0,1,1,0,1,0,563,13266,162,2025-05-03,2025-04-12 00:00:00,570.0,0.0,5.333333333333333,386.6666666666667,5,1,0.1666666666666666,5.0,0.3333333333333333,0.0,0.2,0,1,0,0.0369528140989198,0.0582456140350877,0,8.67668878957915,0.0,0.0,7.999992000008,1,100.0,1,0,1069700,25205400,13512,318384,2143200,27072,5700,900600.0,9.0,9,12,1710,1.466979101262574,0.2461538461538461,0.1384615384615384,0.3538461538461538,0.0,-2.125,0,1,0,4.604345773288538,0.0552147239263803,-0.0266963462868288,0.125,0.1666666666666666,0.5,6.25,473.8125,6.888888888888889,436.0493827160494,8.430298476879992,383.19991803838536,515.0,1545.0,570.0,0.0,0,9.0,0,0,5,1,1,0,0,0,1,0,0.0646117368109069,0.0831721470019342,-0.0185604101910272,64.1,64.1,-0.0866395134318109,-13.100000000000009,2.0,0.9170305676855895,54.7,54.1,1.3159692832499987,-7.599999999999994,6.0,0.7191887849530304,A,0.0140845070422535,0.0950198594561564,0.1482269824736198,0.0917005223447475,0.0987096774193548,0.0,0.0765306122448979,0.0,0.0555555555555555,0.0,0.0356706385578979,2.0,0,0.0644834262969585,0.0706031923418278,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20571018043114617,384.8,78.15727742990505,0.15,default
2025051108020602,2025,511,08,タイキフィアリーベ,2022103156,3,1,1154,松若風馬,1069,中尾秀正,570,466.0,4.0,-1.0,2525,13,2,3,7,14,1800,24,1,0,2,16,2,6, ,ラブリーデイ,ラブインブルーム,キングカメハメハ,タイキシャトル,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,3.0,5.0,1.0,472.0,445.0,402.0,37.64306044943742,-11.0,167.0,152.0,642.0,9.0,3949.0,9.0,1800.0, ,1.0,3.0,0.0555555555555555,0.0,1,1,0,0,0,811,14057,250,2025-05-11,2025-04-20 00:00:00,570.0,0.0,8.666666666666666,2972.6666666666665,4,0,0.0,9.0,0.3,0.0,0.0,0,0,0,0.0579238529124633,0.0735294117647058,0,10.402902754713168,0.0,0.0,8.999991000009,1,0.0,0,0,1459800,25302600,19464,337368,2077200,27696,5400,838800.0,9.0,0,6,1710,1.288122422349577,0.0462962962962962,0.0925925925925925,0.2777777777777778,-4.0,-0.5,0,0,0,1.1547005383792432,0.0612472160356347,-0.0206638541775745,0.1666666666666666,0.1578947368421052,0.3333333333333333,9.25,3182.125,9.296296296296298,3032.925925925926,9.480090157776107,2932.540946656649,515.0,1545.0,570.0,0.0,0,9.0,0,0,5,1,1,0,0,0,0,1,0.0646117368109069,0.0831721470019342,-0.0185604101910272,53.1,0.0,0.3275136488131184,-0.6999999999999957,0.0,0.9448818897637794,64.2,54.6,-0.102507287961051,9.6,0.0,0.2565626855248519,D,0.0317460317460317,0.1225868725868725,0.2589676290463691,0.1184971098265895,0.1258700696055684,0.1428571428571428,0.1081871345029239,0.125,0.0769230769230769,0.0527881931425238,0.1334459459459459,2.0,0,0.0644834262969585,0.0706031923418278,0.0335570469798657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31137540800802493,252.5,77.62229052202629,0.15,default
2025091409040403,2025,914,09,サラサラヘアー,2022103463,3,2,1202,鷲頭虎太,1210,前川恭子,530,462.0,4.0,-1.0,2777,14,2,5,8,15,1800,24,2,0,1,15,4,4, ,ゴールデンマンデラ,シシャモムスメ,Golden Horn,バトルプラン,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,4.0,0.0,2.0,466.0,475.6666666666667,466.0,8.504900548115382,16.0,152.0,158.0,627.0,10.0,1586.0,7.0,1200.0, ,0.0,5.142857142857143,0.0101010101010101,0.0,1,1,0,1,0,523,5796,86,2025-09-14,2025-08-09 00:00:00,530.0,0.0,12.0,1413.3333333333333,5,0,0.0,6.0,0.5714285714285714,0.0,0.0,0,0,0,0.032520325203252,0.0335570469798657,0,49.027340963856574,0.0,0.0,9.99999000001,1,600.0,1,0,941400,10432800,12552,139104,2163600,28848,5400,831600.0,15.42857142857143,8,4,1590,1.0,1.0,0.0,0.0,-4.0,5.25,1,0,0,5.36656314599949,0.0851498637602179,0.0032387935470087,0.1666666666666666,0.3076923076923077,0.3,11.8125,1386.9375,11.185185185185189,1174.8641975308642,9.65207294583703,909.2523734717574,475.0,1425.0,530.0,0.0,1,15.42857142857143,0,0,9,2,0,0,1,0,0,1,0.0683321087435709,0.0846197827329902,-0.0162876739894193,52.4,52.4,0.3812850534045446,-4.700000000000003,0.0,0.9310344827586206,0.0,0.0,0.0,0.0,0.0,0.5286208140576325,B,0.0454545454545454,0.0454545454545454,1.0,0.0357142857142857,0.0555555555555555,0.0909090909090909,0.0909090909090909,0.1428571428571428,0.1,0.2299242424242424,0.0974025974025974,2.0,0,0.0644834262969585,0.0706031923418278,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579663402407954,277.7,70.63725268486888,0.15,default
2025021510010708,2025,215,10,ピーターサイト,2020105611,5,1,1120,大江原圭,1190,村田一誠,600,480.0,6.0,1.0,1813,13,2,5,7,12,3390,54,2,1,0,14,1,7,H,ワンアンドオンリー,ヴィクトリアアイ,ハーツクライ,ブライアンズタイム,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,3,2.0,3.0,3.0,420.0,418.3333333333333,413.0,4.725815626252609,2.0,146.0,133.0,584.0,5.0,200.0,6.0,3570.0,E,1.0,11.0,0.0508474576271186,0.0,1,1,0,1,1,851,15503,300,2025-02-15,2024-11-30 00:00:00,600.0,0.0,3.333333333333333,244.0,14,1,0.0666666666666666,8.0,0.2222222222222222,0.0,0.0,0,0,0,0.0577427821522309,0.0381679389312977,0,72.12946188948409,0.0,0.0,4.999995000005001,1,-180.0,0,1,2884890,52555170,45954,837162,3796800,60480,16950,1627200.0,55.0,28,49,3000,1.0597780574542646,0.7178571428571427,0.0714285714285714,0.3571428571428571,6.0,0.623291015625,0,0,0,2.280350850198295,0.1702127659574468,0.0883016957442375,0.25,0.125,0.125,4.02001953125,242.73388671875,3.91108765287837,230.62462750647143,4.78346990542398,260.35078493276643,545.0,2725.0,600.0,0.0,2,55.0,0,0,2,0,0,0,0,1,0,1,0.0925925925925925,0.0921501706484641,0.0004424219441284,52.7,0.0,0.3698481898049721,-20.89999999999999,0.0,0.9399477806788512,58.4,0.0,0.7635099870941168,2.1000000000000014,0.0,0.5830562801595567,B,0.0952380952380952,0.0414937759336099,2.295238095238095,0.0371900826446281,0.0458333333333333,0.0,0.0,0.3333333333333333,0.0,0.4833333333333333,0.1082987551867219,1.0,0,0.0644834262969585,0.0706031923418278,0.0769230769230769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3945705053971811,181.3,70.53563262850894,0.15,default
2025111508040307,2025,1115,08,テーオーシュタイン,2022104879,3,1,1154,松若風馬,1084,梅田智之,560,470.0,2.0,1.0,1855,14,2,12,6,11,1800,24,1,0,1,16,4,3, ,ワールドエース,ソングライティング,ディープインパクト,Giant's Causeway,1,2,2,1,0,1,1,0,0,0,1,0,0,9,9,2,2.0,2.0,4.0,473.0,439.3333333333333,392.0,42.19399641339196,-20.0,157.0,156.0,645.0,8.0,386.0,8.0,1800.0, ,0.0,1.8571428571428568,0.0569877883310719,0.0,1,1,0,0,0,855,7481,292,2025-11-15,2025-11-02 00:00:00,560.0,0.0,6.666666666666667,172.66666666666666,16,1,0.0588235294117647,8.0,0.2222222222222222,0.1666666666666666,0.3333333333333333,1,1,0,0.058074074074074,0.0544993662864385,0,9.0753352907735,0.0,0.0,7.999992000008,1,0.0,0,0,1539000,13465800,20520,179544,2077200,27696,5400,846000.0,5.571428571428571,0,27,1680,1.2206614792174917,0.4512195121951219,0.0975609756097561,0.2682926829268293,2.0,3.7210693359375,1,0,0,7.563068160475616,0.0984759671746776,0.0165648969614683,0.1428571428571428,0.1428571428571428,0.25,7.33172607421875,222.5491638183593,6.320612852254183,166.53035008171702,5.246217398027234,118.0109477614989,505.0,1515.0,560.0,0.0,0,5.57142857142857,0,0,11,3,0,0,1,0,0,1,0.0662921348314606,0.0738581146744412,-0.0075659798429805,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0.0,-0.1473012849466627,9.5,0.0,0.2457037125223889,D,0.0232558139534883,0.0930646117368109,0.2498889053473559,0.0898876404494382,0.096612296110414,0.0,0.073170731707317,0.1666666666666666,0.0454545454545454,0.0,0.0686129223473621,2.0,0,0.0644834262969585,0.0706031923418278,0.029585798816568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36964826230669234,185.5,67.56975265789143,0.15,default
