race_code,bamei,win_prob,tansho_odds,ev,tansho,fukusho,umaren,sanrenpuku,total_bet
2025010506010102,ロンパイア,0.6729,7.5,4.047,0,5000,0,0,5000
2025010506010103,ウィンターサン,0.1457,7.5,0.093,0,3000,4400,0,7400
2025010506010104,コスモジンバック,0.3703,17.0,5.296,2800,2800,2800,1500,9900
2025010506010105,フィールドノート,0.2724,7.2,0.962,0,5000,2200,0,7200
2025010506010106,トーセンリバーブ,0.3069,114.7,34.207,2500,2500,2500,2500,10000
2025010506010107,ビップレーヌ,0.1339,7.9,0.058,0,2500,2900,0,5400
2025010506010109,ピュアキアン,0.3289,13.8,3.539,2500,2500,2500,2500,10000
2025010506010111,アルナシーム,0.0784,8.4,-0.341,0,0,1000,0,1000
2025010506010112,ムーム,0.3824,7.3,1.791,0,5000,0,0,5000
2025010507010101,ミラクルブルー,0.4295,18.3,6.86,2500,2500,2500,2500,10000
2025010507010102,セルズパワー,0.236,4.9,0.156,0,0,5000,0,5000
2025010507010104,ソルナシエンテ,0.7447,4.4,2.277,0,0,5000,0,5000
2025010507010105,ジーティーアダマン,0.66,4.6,2.036,0,0,5000,0,5000
2025010507010107,エコロディノス,0.4147,1.9,-0.212,0,0,5000,0,5000
2025010507010108,ビバップ,0.3746,11.3,3.232,2500,2500,2500,2500,10000
2025010507010110,サウンドアレグリア,0.3147,4.7,0.479,0,0,5000,0,5000
2025010507010112,ブリックワーク,0.457,3.4,0.554,0,0,5000,0,5000
2025010606010201,イズルード,0.4087,18.2,6.439,2500,2500,2500,2500,10000
2025010606010204,ロサンゼルス,0.2873,4.3,0.235,0,0,5000,0,5000
2025010606010205,ストレイトトーカー,0.4745,5.3,1.515,0,5000,0,0,5000
2025010606010206,アルティテュード,0.283,2.0,-0.434,0,0,5000,0,5000
2025010606010207,ビーオンザカバー,0.183,13.4,1.452,1700,2900,2900,2400,9900
2025010606010208,フェーレンベルク,0.3674,11.6,3.262,2500,2500,2500,2500,10000
2025010606010211,ステークホルダー,0.1775,2.5,-0.556,0,0,4400,0,4400
