race_code,bamei,barei,bataiju,zogen_sa,zogen_fugo,kishumei_ryakusho,pred_chakujun,actual_chakujun,odds,hit
2025010506010101,ダイチラポール,3,476.0,2.0,1.0,長浜鴻緒,1,5,7.3,0
2025010506010102,ロンパイア,3,474.0,2.0,-1.0,戸崎圭太,1,2,7.5,0
2025010506010103,ウィンターサン,3,454.0,0.0,0.0,佐々木大,2,9,7.5,0
2025010506010104,ロードブレイズ,4,506.0,8.0,1.0,横山和生,1,1,5.7,1
2025010506010105,フィールドノート,3,450.0,0.0,0.0,マーカン,1,1,7.2,1
2025010506010106,トーセンリバーブ,3,466.0,0.0,0.0,菊沢一樹,1,3,114.7,0
2025010506010107,イラーナ,4,434.0,6.0,-1.0,津村明秀,2,4,5.7,0
2025010506010108,レオテミス,4,490.0,0.0,0.0,石田拓郎,1,1,4.2,1
2025010506010109,マンマリアーレ,5,476.0,2.0,1.0,荻野極　,1,7,4.7,0
2025010506010110,ギフテッド,3,458.0,0.0,0.0,菅原明良,1,8,28.3,0
2025010506010111,ボーンディスウェイ,6,498.0,6.0,1.0,木幡巧也,2,3,16.5,0
2025010506010112,モンドプリューム,5,504.0,2.0,1.0,藤岡佑介,1,3,5.8,0
2025010507010101,ミラクルブルー,3,482.0,2.0,1.0,鮫島克駿,1,5,18.3,0
2025010507010102,セルズパワー,3,468.0,4.0,1.0,幸英明　,1,1,4.9,1
2025010507010103,カルテシウス,3,480.0,10.0,1.0,川田将雅,1,6,4.5,0
2025010507010104,テスティモーネ,3,512.0,0.0,0.0,国分優作,1,6,40.1,0
2025010507010105,ジーティーアダマン,3,502.0,0.0,0.0,松山弘平,1,1,4.6,1
2025010507010106,パルクリチュード,5,450.0,2.0,1.0,西村淳也,1,2,5.1,0
2025010507010107,バルティカ,3,444.0,10.0,1.0,キング　,1,4,22.1,0
2025010507010108,ナッカーフェイス,6,468.0,6.0,1.0,高倉稜　,1,1,48.8,1
2025010507010109,ハヤテノフクノスケ,4,534.0,18.0,1.0,岩田望来,1,1,3.2,1
2025010507010110,カンパニョーラ,6,452.0,4.0,-1.0,西村淳也,1,6,13.4,0
2025010507010111,シュバルツカイザー,7,504.0,0.0,0.0,岩田望来,1,7,50.0,0
2025010507010112,ブリックワーク,4,434.0,2.0,1.0,岩田望来,1,5,3.4,0
2025010606010201,ガンハンマー,3,434.0,10.0,1.0,キング　,1,4,6.2,0
2025010606010202,フォンデネージュ,3,512.0,2.0,1.0,ドイル　,1,3,4.4,0
2025010606010203,ロードスカイブルー,3,468.0,4.0,1.0,横山和生,1,4,33.9,0
2025010606010204,ロサンゼルス,4,518.0,4.0,1.0,マーカン,1,3,4.3,0
2025010606010205,ストレイトトーカー,3,480.0,0.0,0.0,大野拓弥,1,1,5.3,1
2025010606010206,クモヒトツナイ,3,478.0,6.0,1.0,松岡正海,2,10,20.5,0
2025010606010207,ゴーソーファー,3,460.0,4.0,1.0,津村明秀,1,1,36.5,1
2025010606010208,フェーレンベルク,5,494.0,14.0,1.0,上野翔　,1,1,11.6,1
2025010606010209,メイショウフジ,5,480.0,6.0,1.0,大野拓弥,1,1,7.6,1
2025010606010210,アスクナイスショー,4,494.0,2.0,1.0,田辺裕信,1,1,4.1,1
2025010606010211,デイトナモード,5,548.0,10.0,1.0,ドイル　,1,9,30.5,0
2025010606010212,ディズレーリ,5,510.0,6.0,-1.0,内田博幸,1,5,21.9,0
2025010607010201,メリッササンライズ,3,464.0,0.0,0.0,古川吉洋,1,13,8.6,0
